player_name,cluster,role,num_matches,kd_ratio_mean,kills_per_round_mean,entry_fragger_score_mean,support_score_mean
-khaN,1,Support Player,1,1.6923076923076923,0.9166666666666666,0.7083333333333334,10.5
1NVISIBLEE,1,Support Player,1,1.3529411764705883,1.0,0.6956521739130435,4.0
1eeR,1,Support Player,1,0.5555555555555556,0.4166666666666667,0.5416666666666666,9.0
Anlelele,1,Support Player,1,0.96,0.6857142857142857,0.5428571428571428,6.0
AquaRS,1,Support Player,2,0.9782608695652174,0.7075757575757575,0.6621212121212121,5.5
BENZENE,1,Support Player,1,0.8,0.631578947368421,0.5263157894736842,1.0
Banjo,1,Support Player,2,1.5219298245614035,0.8833333333333333,0.696969696969697,6.5
Bhavi,1,Support Player,1,0.875,0.7368421052631579,0.6842105263157895,2.5
Brollan,1,Support Player,1,1.125,0.6,0.6,7.0
Djon8,1,Support Player,1,1.0714285714285714,0.6521739130434783,0.391304347826087,8.0
EmbeR,1,Support Player,1,0.6923076923076923,0.4736842105263157,0.3157894736842105,14.0
F0R3VER,1,Support Player,2,1.40625,0.8954545454545454,0.8090909090909091,8.5
FenomeN--,1,Support Player,1,1.818181818181818,0.8695652173913043,0.6521739130434783,14.5
FinigaN,1,Support Player,2,0.625,0.4545454545454546,0.4545454545454546,4.0
HObbit,1,Support Player,1,0.9545454545454546,0.6,0.6857142857142857,16.0
Jimpphat,1,Support Player,1,1.0,0.7333333333333333,0.7333333333333333,5.0
KIRO,1,Support Player,1,0.3333333333333333,0.2083333333333333,0.2083333333333333,8.0
MartinezSa,1,Support Player,1,0.7,0.4666666666666667,0.4,1.0
Neityu,1,Support Player,1,0.6923076923076923,0.5142857142857142,0.6857142857142857,13.0
Rage,1,Support Player,1,1.7272727272727273,1.0,1.5263157894736843,7.5
SPine,1,Support Player,1,0.9230769230769232,0.631578947368421,0.5263157894736842,1.0
SoLb,1,Support Player,1,0.5238095238095238,0.4782608695652174,0.6521739130434783,8.5
Sowalio,1,Support Player,1,1.5384615384615383,0.8333333333333334,0.7083333333333334,2.0
Spinx,1,Support Player,1,1.0,0.6,0.8,4.0
TMB,1,Support Player,1,0.75,0.5142857142857142,0.4571428571428571,16.5
TriBorgg1,1,Support Player,2,1.05,0.7075757575757575,0.5393939393939393,5.5
Uli,0,Entry Fragger,1,2.0,1.0285714285714285,0.7428571428571429,4.0
Xant3r,1,Support Player,1,1.181818181818182,0.5416666666666666,0.6666666666666666,7.5
acoR,1,Support Player,1,0.8333333333333334,0.5714285714285714,0.8857142857142857,6.5
alex ,1,Support Player,1,0.8888888888888888,0.5333333333333333,0.4666666666666667,0.0
alpha--,1,Support Player,1,1.2307692307692308,0.6956521739130435,0.8695652173913043,12.0
alxc,1,Support Player,1,0.84,0.6,0.5714285714285714,6.0
bl1x1,1,Support Player,1,1.1333333333333333,0.7391304347826086,0.7391304347826086,5.5
bluewh1te,1,Support Player,1,1.1428571428571428,0.6666666666666666,0.75,10.0
clouda,1,Support Player,1,0.5294117647058824,0.4736842105263157,0.5789473684210527,2.0
cronuss,1,Support Player,1,1.3478260869565215,0.8857142857142857,1.0857142857142856,10.0
dav1g,1,Support Player,1,0.7272727272727273,0.5333333333333333,0.5333333333333333,1.0
executor,1,Support Player,1,1.3571428571428572,0.7916666666666666,0.7083333333333334,5.0
expSasiKi,1,Support Player,1,1.0909090909090908,0.631578947368421,0.8421052631578947,6.0
glowiing,1,Support Player,1,1.3571428571428572,0.8260869565217391,0.782608695652174,11.5
interz,1,Support Player,1,0.7142857142857143,0.4285714285714285,0.3142857142857143,9.5
k4nfuz-,1,Support Player,1,0.6666666666666666,0.4347826086956521,0.3043478260869565,3.0
kinqie44,1,Support Player,1,0.8333333333333334,0.625,0.7083333333333334,6.0
lasfas,1,Support Player,2,1.3681318681318682,0.7196969696969697,0.6515151515151515,5.75
lattykk,1,Support Player,1,1.3333333333333333,0.8,0.7142857142857143,6.5
mopoz,1,Support Player,1,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0
myltsi,1,Support Player,1,1.0,0.6285714285714286,0.4,12.0
notineki,1,Support Player,1,0.75,0.5217391304347826,0.4347826086956521,5.0
nut nut,1,Support Player,1,1.1428571428571428,0.6857142857142857,0.5428571428571428,16.0
ottob,1,Support Player,1,1.3888888888888888,0.7142857142857143,0.7142857142857143,10.0
oz1k,1,Support Player,1,1.0909090909090908,0.6857142857142857,0.5142857142857142,2.0
p3kko,1,Support Player,1,0.6,0.4285714285714285,0.5142857142857142,13.5
paz,1,Support Player,2,0.8666666666666667,0.6409090909090909,0.7651515151515151,4.25
podi,1,Support Player,1,1.2,0.6857142857142857,0.6571428571428571,5.5
puuha,1,Support Player,1,0.84,0.6,0.5142857142857142,4.5
reV3nnn,1,Support Player,1,0.375,0.3157894736842105,0.3157894736842105,2.5
rigoN,1,Support Player,1,0.75,0.6,0.6285714285714286,8.0
riskyb0b,1,Support Player,1,0.7857142857142857,0.4583333333333333,0.4166666666666667,12.5
rubeN,1,Support Player,1,1.625,0.6842105263157895,0.5263157894736842,5.5
sausoL,1,Support Player,1,0.3846153846153846,0.3333333333333333,0.3333333333333333,1.0
sdy,1,Support Player,1,1.0434782608695652,0.6857142857142857,0.6571428571428571,21.0
shield,1,Support Player,2,1.0341880341880343,0.6166666666666667,0.6954545454545455,6.25
sirah,1,Support Player,1,1.0416666666666667,0.7142857142857143,0.8285714285714286,2.0
soulfly,1,Support Player,2,0.7121212121212122,0.5575757575757575,0.656060606060606,6.5
suki,1,Support Player,1,2.75,1.1578947368421053,0.7368421052631579,0.0
torzsi,1,Support Player,1,1.625,0.8666666666666667,0.8666666666666667,7.0
turbo,1,Support Player,2,0.6031746031746031,0.3696969696969697,0.4196969696969697,7.5
xertioN,1,Support Player,1,2.6,0.8666666666666667,1.1333333333333333,7.0
yuramyata,1,Support Player,1,0.5555555555555556,0.4347826086956521,0.5217391304347826,6.0
z1Nny,1,Support Player,1,0.9285714285714286,0.5416666666666666,0.625,4.0
â‘² PKL,1,Support Player,1,0.4285714285714285,0.45,0.25,5.5
â‘² âœ“ PKL,0,Entry Fragger,1,1.2173913043478262,1.3333333333333333,1.0,14.0
â‘³ Ceruttera,1,Support Player,1,0.6666666666666666,0.7,0.65,4.0
â‘³ coldzeraa,1,Support Player,1,1.3,0.65,0.5,11.0
â‘³ detr0ittJ,0,Entry Fragger,1,4.5,4.05,1.0,9.5
â‘³ hardzao,0,Entry Fragger,1,4.4,4.4,0.55,7.5
â‘³ ksloks,0,Entry Fragger,1,0.6666666666666666,1.3,0.9,12.0
â‘³ lukiz,1,Support Player,1,0.5,0.55,0.35,5.0
â‘³ naitte,0,Entry Fragger,1,0.367816091954023,1.6,1.1,4.0
â‘³ woody,1,Support Player,1,1.0666666666666669,0.8,0.85,5.5
â‘³ xureba,0,Entry Fragger,1,1.238095238095238,1.3,0.55,6.0
â‘³ âœ“ detr0ittJ,0,Entry Fragger,1,2.090909090909091,2.1904761904761907,0.9523809523809524,17.0
â‘³ âœ“ lukiz,0,Entry Fragger,1,1.681818181818182,1.761904761904762,1.0,7.5
â‘³ âœ“ xureba,1,Support Player,1,0.8636363636363636,0.9047619047619048,0.6666666666666666,6.0
â‘³ âœ“ â˜… Ceruttera,1,Support Player,1,0.7,1.0,0.6666666666666666,3.0
â‘³ â¦» ksloks,0,Entry Fragger,1,0.7,1.3333333333333333,0.4285714285714285,10.0
â‘³ â¦» naitte,0,Entry Fragger,1,0.6585365853658537,1.2857142857142858,0.6190476190476191,5.0
â‘³ â¦» â˜… woody,1,Support Player,1,0.875,1.0,0.4761904761904761,17.0
â‘³ ðŸœ² hardzao,0,Entry Fragger,1,2.12,2.5238095238095237,0.6666666666666666,7.0
â‘³ ðŸœ² â˜… coldzeraa,1,Support Player,1,0.9,0.8571428571428571,0.3809523809523809,4.0
